FIRST_LINE,DRUG_EFF_MULTIPLY_FACTOR,STARTING_PARTNER_DRUG_FREQ,TIME_TO_1p_580Y,TIME_TO_10p_580Y,TIME_TO_25p_580Y
0,0.85,0.1,3.098630137,9.432876712,12.31780822
0,0.85,0.1,3.4,9.967123288,13.08493151
0,0.85,0.1,4.794520548,10.81917808,13.83013699
0,0.85,0.1,3.545205479,10.11506849,13.63561644
0,0.85,0.1,3.704109589,10.33424658,13.67945205
0,0.85,0.1,3.180821918,8.624657534,12.0630137
0,0.85,0.1,4.115068493,10.4630137,13.47671233
0,0.85,0.1,3.619178082,10.77534247,13.68767123
0,0.85,0.1,4.684931507,9.98630137,12.83835616
0,0.85,0.1,4.073972603,9.567123288,12.3260274
0,0.85,0.1,3.306849315,10.71780822,14.17808219
0,0.85,0.1,2.969863014,8.82739726,11.8
0,0.85,0.1,4.769863014,10.02465753,12.64383562
0,0.85,0.1,3.879452055,10.17260274,13.31232877
0,0.85,0.1,3.909589041,9.821917808,13.23013699
0,0.85,0.1,3.764383562,9.463013699,12.87123288
0,0.85,0.1,5.635616438,13.2109589,16.49041096
0,0.85,0.1,4.583561644,10.53424658,13.53150685
0,0.85,0.1,5.175342466,13.14794521,16.5369863
0,0.85,0.1,4.457534247,9.367123288,12.89315068
0,0.85,0.1,3.989041096,9.356164384,12.60547945
0,0.85,0.1,3.854794521,10.27671233,13.2630137
0,0.85,0.1,3.21369863,9.468493151,12.23561644
0,0.85,0.1,3.378082192,10.73972603,13.91506849
0,0.85,0.25,2.621917808,7.134246575,10.35616438
0,0.85,0.25,3.671232877,9.128767123,12.2630137
0,0.85,0.25,3.690410959,9.142465753,12.45753425
0,0.85,0.25,2.465753425,8.504109589,11.23013699
0,0.85,0.25,4.024657534,9.665753425,12.41917808
0,0.85,0.25,2.304109589,8.276712329,11.28219178
0,0.85,0.25,2.095890411,7.136986301,9.838356164
0,0.85,0.25,3.38630137,9.98630137,13.25753425
0,0.85,0.25,2.605479452,8.917808219,12.28219178
0,0.85,0.25,3.539726027,8.057534247,11.50136986
0,0.85,0.25,2.619178082,7.375342466,10.90410959
0,0.85,0.25,2.476712329,8.263013699,11.32054795
0,0.85,0.25,2.597260274,7.846575342,11.23835616
0,0.85,0.25,2.331506849,7.819178082,11.30410959
0,0.85,0.25,2.824657534,8.249315068,11.15890411
0,0.85,0.25,3.169863014,9.046575342,11.99178082
0,0.85,0.25,2.254794521,8.263013699,11.75616438
0,0.85,0.25,3.517808219,8.517808219,11.96438356
0,0.85,0.25,2.284931507,7.290410959,9.917808219
0,0.85,0.25,2.739726027,7.035616438,9.64109589
