FIRST_LINE,CR_MULTIPLY_FACTOR,STARTING_PARTNER_DRUG_FREQ,TIME_TO_1p_580Y,TIME_TO_10p_580Y,TIME_TO_25p_580Y
0,0.9,0.5,2.197260274,7.726027397,11.51232877
0,0.9,0.5,2.230136986,7.263013699,11.69041096
0,0.9,0.5,3.038356164,8.079452055,11.56438356
0,0.8,0,13.31506849,21.58082192,24.16164384
0,0.8,0,9.712328767,14.67123288,17.60547945
0,0.8,0,14.46027397,21.00273973,23.79452055
0,0.8,0,13.51780822,19.60547945,22.55616438
0,0.8,0,15.34246575,21.64109589,24.91780822
0,0.8,0,9.539726027,18.73150685,22.00273973
0,0.8,0,8.534246575,14.58630137,17.43561644
0,0.8,0,10.71232877,15.74794521,18.33150685
0,0.8,0,8.150684932,16.08219178,18.82465753
0,0.8,0,7.197260274,12.27671233,14.87945205
0,0.8,0,17.58630137,23.69041096,26.93424658
0,0.8,0,7.761643836,14.37808219,17.0739726
0,0.8,0,12.24109589,19.75068493,22.53150685
0,0.8,0,12.09315068,17.26849315,20.01917808
0,0.8,0,12.17808219,17.95616438,20.64657534
0,0.8,0,10.2630137,16.7890411,19.48767123
0,0.8,0,16.22191781,22.6,25.66575342
0,0.8,0,6.071232877,14.26849315,17.26849315
0,0.8,0,6.794520548,12.08767123,15.14246575
0,0.8,0,10.57260274,17.96712329,20.76986301
0,0.8,0,15.03835616,23.18356164,26.46027397
0,0.8,0,5.767123288,10.6630137,13.21369863
0,0.8,0,14.11506849,20.62465753,23.32876712
0,0.8,0,14.03287671,21.66027397,24.59726027
0,0.8,0,10.62739726,18.77534247,21.82191781
0,0.8,0,12.88493151,18.60547945,22.06575342
0,0.8,0,6.473972603,12.24657534,15.08493151
0,0.8,0,9.021917808,14.55616438,17.12876712
0,0.8,0,18.88219178,24.85205479,28.14794521
0,0.8,0,5.298630137,12.41917808,15.57260274
0,0.8,0,10.27945205,16.8630137,20.10958904
0,0.8,0,11.40821918,19.6109589,22.92876712
0,0.8,0,8.838356164,15.29589041,17.96164384
0,0.8,0,6.797260274,12.77260274,15.93150685
0,0.8,0,3.879452055,9.526027397,12.22191781
0,0.8,0,14.62739726,21.59726027,24.47123288
0,0.8,0,8.457534247,15.97260274,18.60547945
0,0.8,0,6.298630137,11.11506849,13.87671233
0,0.8,0,8.087671233,15.38082192,18.35890411
0,0.8,0,15.49589041,20.69315068,23.49315068
0,0.8,0,8.890410959,15.41917808,18.21369863
0,0.8,0,10.93150685,21.35616438,25.11232877
0,0.8,0,11.14246575,21.13972603,24.15068493
0,0.8,0,5.997260274,12.59178082,15.69041096
0,0.8,0,12.14246575,16.20273973,18.92328767
0,0.8,0,6.202739726,13.48219178,16.14794521
0,0.8,0,9.493150685,15.6,18.15068493
0,0.8,0,16.02739726,23.43013699,26.45753425
0,0.8,0,8,16.06027397,19.42465753
0,0.8,0,10.11780822,17.65479452,20.52054795
0,0.8,0.01,8.364383562,14.04657534,17.33972603
0,0.8,0.01,8.268493151,13.63561644,16.86849315
0,0.8,0.01,6.531506849,13.06849315,16.05205479
0,0.8,0.01,6.347945205,12.16712329,16.09315068
0,0.8,0.01,7.109589041,14.10136986,17.10684932
0,0.8,0.01,6.780821918,13.69589041,16.49315068
0,0.8,0.01,4.430136986,11.99178082,14.6630137
0,0.8,0.01,7.726027397,13.89863014,16.61643836
0,0.8,0.01,8.189041096,15.2,18.16438356
0,0.8,0.01,9.24109589,20.7260274,23.69315068
0,0.8,0.01,7.15890411,14.27945205,17.24383562
0,0.8,0.01,4.419178082,10.30958904,13.12054795
0,0.8,0.01,7.156164384,14.10136986,17.05753425
0,0.8,0.01,12.76986301,19.9260274,22.81643836
0,0.8,0.01,11.54246575,17.95342466,20.96438356
0,0.8,0.01,7.945205479,14.48767123,17.9369863
0,0.8,0.01,6.75890411,14.10136986,16.94794521
0,0.8,0.01,9.41369863,14.23561644,16.83013699
0,0.8,0.01,6.95890411,14.42739726,17.64109589
0,0.8,0.01,8.106849315,15.75890411,18.5369863
0,0.8,0.01,8.380821918,15.86575342,18.82191781
0,0.8,0.01,8.265753425,13.65205479,16.56986301
0,0.8,0.01,16.34520548,23.29863014,26.19178082
0,0.8,0.01,5.509589041,12.1890411,15.00547945
0,0.8,0.01,7.942465753,13.83013699,16.41369863
0,0.8,0.01,8.82739726,17.43561644,20.18356164
0,0.8,0.01,8.931506849,15.66575342,18.82191781
0,0.8,0.01,14.53972603,20.29041096,23.37534247
0,0.8,0.01,9.145205479,16.81643836,19.86575342
0,0.8,0.01,7.84109589,12.96986301,16.26849315
0,0.8,0.01,6.410958904,11.30958904,13.97260274
0,0.8,0.01,7.383561644,12.83561644,15.74794521
0,0.8,0.01,7.312328767,13.40273973,16.01917808
0,0.8,0.01,11.31780822,19.27671233,23.04383562
0,0.8,0.01,15.6,20.23561644,23.08767123
0,0.8,0.01,10.14520548,17.0109589,20.17260274
0,0.8,0.01,6.095890411,11.59452055,14.06849315
0,0.8,0.01,5.465753425,11.43561644,14.0630137
0,0.8,0.01,6.035616438,11.60547945,14.41643836
0,0.8,0.01,10.2,15.91506849,19.14794521
0,0.8,0.01,9.980821918,15.5890411,18.63835616
0,0.8,0.01,11.58630137,18.56712329,21.13424658
0,0.8,0.01,9.479452055,15.2630137,17.8630137
0,0.8,0.01,6.936986301,12.53424658,15.44931507
0,0.8,0.01,11.79726027,16.68219178,19.53150685
0,0.8,0.01,11.40273973,18.6,21.78356164
0,0.8,0.01,12.17260274,18.84931507,21.62465753
0,0.8,0.01,11.54520548,19,21.8739726
0,0.8,0.01,8.435616438,13.69315068,16.39452055
0,0.8,0.01,8.989041096,16.5890411,19.34520548
0,0.8,0.1,5.945205479,10.9260274,13.64109589
0,0.8,0.1,3.350684932,9.583561644,13.04383562
0,0.8,0.1,3.980821918,9.873972603,12.7260274
0,0.8,0.1,3.767123288,10.52328767,13.68493151
0,0.8,0.1,6.523287671,13.66575342,16.78630137
0,0.8,0.1,5.791780822,12.68219178,15.60273973
0,0.8,0.1,4.24109589,9.77260274,12.67671233
0,0.8,0.1,4.928767123,11.57534247,14.42191781
0,0.8,0.1,3.169863014,8.923287671,12.32054795
0,0.8,0.1,4.857534247,10.95890411,14.64383562
0,0.8,0.1,5.098630137,10.96712329,14.06027397
0,0.8,0.1,3.991780822,9.147945205,12.4109589
0,0.8,0.1,4.260273973,9.416438356,12.38082192
0,0.8,0.1,4.690410959,9.452054795,12.29041096
