FIRST_LINE,CLINICAL_MULTIPLY_FACTOR,STARTING_PARTNER_DRUG_FREQ,TIME_TO_1p_580Y,TIME_TO_10p_580Y,TIME_TO_25p_580Y
0,1.1,0.01,7,15.50410959,18.11232877
0,1.1,0.01,5.632876712,11.81917808,14.60821918
0,1.1,0.01,8.276712329,13.95068493,16.48493151
0,1.1,0.01,7.435616438,12.59452055,15.67671233
0,1.1,0.01,5.961643836,11.69589041,14.04657534
0,1.1,0.01,3.632876712,11.11506849,13.91780822
0,1.1,0.01,10.02465753,17.78082192,20.41643836
0,1.1,0.01,6.605479452,11.56986301,14.4
0,1.1,0.01,5.928767123,12,14.74794521
0,1.1,0.01,7.926027397,13.0109589,15.53150685
0,1.1,0.01,9.205479452,14.83013699,18.18630137
0,1.1,0.01,14.59452055,20.37534247,23.27945205
0,1.1,0.01,7.073972603,12.50410959,14.98630137
0,1.1,0.01,10.82465753,16.65479452,19.25479452
0,1.1,0.01,12.95616438,19.33150685,22.27671233
0,1.1,0.01,10.72054795,16.49863014,19.69041096
0,1.1,0.01,7.578082192,14.03561644,17.03561644
0,1.1,0.01,8.487671233,15.26027397,18.06849315
0,1.1,0.01,8.950684932,15.4,18.49589041
0,1.1,0.01,13.65753425,20.84657534,23.49863014
0,1.1,0.01,5.517808219,10.13424658,13.13150685
0,1.1,0.01,4.849315068,10.79726027,13.24383562
0,1.1,0.01,8.873972603,13.81369863,16.56164384
0,1.1,0.01,8.087671233,13.94520548,16.7890411
0,1.1,0.01,11.48767123,18.29041096,20.8
0,1.1,0.01,7.084931507,13.75068493,16.65479452
0,1.1,0.1,4.619178082,11.01369863,13.68767123
0,1.1,0.1,3.715068493,9.052054795,11.55342466
0,1.1,0.1,4.704109589,9.726027397,12.69041096
0,1.1,0.1,2.994520548,9.117808219,11.92876712
0,1.1,0.1,3.153424658,8.610958904,11.64657534
0,1.1,0.1,5.312328767,11.16164384,14.2109589
0,1.1,0.1,5.345205479,10.77534247,14.04109589
0,1.1,0.1,5.567123288,9.934246575,12.68219178
0,1.1,0.1,3.810958904,10.52328767,13.50684932
0,1.1,0.1,4.594520548,11.25205479,14.1890411
0,1.1,0.1,3.980821918,10.67671233,13.54520548
0,1.1,0.1,4.219178082,9.38630137,12.52328767
