"","PFPR","TREATMENT_COVERAGE","STARTING_PARTNER_DRUG_FREQ","rep","TIME_TO_1p_580Y","TIME_TO_10p_580Y","TIME_TO_25p_580Y","TIME_PARTNER_DRUG_RES_FREQ_TO_1p","TIME_PARTNER_DRUG_RES_FREQ_TO_5p","TIME_PARTNER_DRUG_RES_FREQ_TO_10p","TIME_PARTNER_DRUG_RES_FREQ_TO_20p","TIME_TO_10p_TF","TIME_TO_25p_TF","NUMBER_OF_TREATMENT_FAILURES","NUMBER_OF_MUTATION_EVENTS_1","NUMBER_OF_MUTATION_EVENTS_2","NUMBER_OF_MUTATION_EVENTS_3","NUMBER_OF_MUTATION_EVENTS_4","NUMBER_OF_MUTATION_EVENTS_5"
"2633",10,0.6,0.01,33,6.3013698630137,12.0547945205479,15.1780821917808,0.0547945205479436,4.41095890410959,6.21917808219178,8.27397260273973,8.52054794520548,13.9452054794521,5.209375,30,38,40,46,34
"2634",10,0.6,0.01,34,4.98630136986301,10,12.6301369863014,0.0547945205479436,4.65753424657534,6.54794520547945,8.93150684931507,8.52054794520548,12.8767123287671,5.5575,46,45,44,55,40
"2635",10,0.6,0.01,35,4,14.6027397260274,17.8082191780822,0.0547945205479436,4.82191780821918,7.2054794520548,10,10,16.986301369863,4.7102,52,48,42,45,41
"2636",10,0.6,0.01,36,7.12328767123288,13.2054794520548,16,0.63013698630137,4.98630136986301,7.86301369863014,10.4931506849315,10.6575342465753,15.5890410958904,4.942425,31,44,35,48,33
"2637",10,0.6,0.01,37,7.28767123287671,14.027397260274,16.5753424657534,0.0547945205479436,4.65753424657534,6.7945205479452,9.34246575342466,9.91780821917808,15.6712328767123,4.898225,38,42,53,54,34
"2638",10,0.6,0.01,38,4.32876712328767,15.013698630137,18.3013698630137,0.219178082191782,4.32876712328767,7.04109589041096,10.0821917808219,10.5753424657534,17.0684931506849,4.678825,23,41,47,35,46
"2639",10,0.6,0.01,39,9.42465753424657,18.5479452054795,21.5068493150685,0.465753424657535,5.31506849315069,7.86301369863014,10.0821917808219,11.2328767123288,18.7123287671233,4.17455,33,36,39,59,45
"2640",10,0.6,0.01,40,5.3972602739726,12.2191780821918,15.5068493150685,0.0547945205479436,4.16438356164383,6.38356164383562,8.84931506849315,8.68493150684931,14.6027397260274,5.050875,34,44,36,41,44
"2641",10,0.6,0.01,41,3.67123287671233,10.5753424657534,13.7808219178082,0.0547945205479436,4.08219178082192,6.05479452054794,8.43835616438356,7.61643835616438,13.5342465753425,5.363175,34,40,44,45,37
"2642",10,0.6,0.01,42,4.08219178082192,10.4931506849315,13.6164383561644,0.0547945205479436,3.0958904109589,4.9041095890411,6.7945205479452,7.2054794520548,12.7945205479452,5.60425,28,30,42,40,44
"2643",10,0.6,0.01,43,6.13698630136986,13.2054794520548,16.2465753424658,0.219178082191782,4.65753424657534,7.28767123287671,9.50684931506849,9.42465753424657,14.9315068493151,4.9618,38,36,54,45,43
"2644",10,0.6,0.01,44,5.97260273972603,13.6986301369863,16.4109589041096,0.301369863013697,4.41095890410959,6.71232876712329,9.01369863013699,10,15.4246575342466,4.9792,36,33,40,49,38
"2645",10,0.6,0.01,45,4.32876712328767,14.3561643835616,17.4794520547945,0.547945205479451,4.41095890410959,7.2054794520548,10,10.6575342465753,16.3287671232877,4.7736,37,37,35,46,40
"2646",10,0.6,0.01,46,8.52054794520548,17.3150684931507,20.027397260274,0.0547945205479436,4.49315068493151,7.04109589041096,9.17808219178082,10.0821917808219,17.5616438356164,4.492175,30,27,46,47,39
"2647",10,0.6,0.01,47,5.15068493150685,12.1369863013699,15.013698630137,0.136986301369863,5.64383561643836,7.53424657534246,9.75342465753425,9.83561643835617,14.6027397260274,5.092025,49,59,56,64,65
"2648",10,0.6,0.01,48,6.7945205479452,11.972602739726,14.5205479452055,0.219178082191782,5.72602739726027,7.94520547945206,10,10.0821917808219,14.2739726027397,5.259825,33,32,36,43,44
"2649",10,0.6,0.01,49,6.21917808219178,11.972602739726,15.2602739726027,0.383561643835616,3.58904109589041,5.47945205479452,8.10958904109589,8.27397260273973,14.6849315068493,5.23085,36,31,38,40,36
"2650",10,0.6,0.01,50,7.36986301369863,15.1780821917808,18.0547945205479,0.63013698630137,7.45205479452055,9.91780821917808,11.972602739726,12.2191780821918,17.5616438356164,4.578525,29,46,33,44,37
"2651",10,0.6,0.01,51,6.87671232876712,12.3013698630137,15.3424657534247,0.0547945205479436,4.65753424657534,6.3013698630137,8.6027397260274,9.26027397260274,14.5205479452055,5.10995,37,41,49,41,39
"2652",10,0.6,0.01,52,9.58904109589041,17.0684931506849,20.4383561643836,0.136986301369863,4.08219178082192,6.3013698630137,9.01369863013699,9.58904109589041,17.4794520547945,4.472925,26,39,34,37,34
"2653",10,0.6,0.01,53,5.3972602739726,11.7260273972603,14.8493150684931,0.0547945205479436,5.64383561643836,7.94520547945206,10,10.1643835616438,14.6027397260274,5.20075,48,61,62,53,52
"2654",10,0.6,0.01,54,6.13698630136986,14.1917808219178,17.7260273972603,0.219178082191782,4.16438356164383,6.63013698630137,9.50684931506849,10,16.3287671232877,4.7843,33,32,45,50,36
"2655",10,0.6,0.01,55,8.10958904109589,15.8356164383562,19.3698630136986,0.136986301369863,5.23287671232877,7.2054794520548,10.2465753424658,10.0821917808219,17.7260273972603,4.58055,29,33,33,52,35
"2656",10,0.6,0.01,56,5.47945205479452,13.041095890411,15.9178082191781,0.136986301369863,4.82191780821918,7.04109589041096,9.0958904109589,9.75342465753425,14.7671232876712,4.988975,37,37,41,48,33
"2657",10,0.6,0.01,57,6.87671232876712,12.8767123287671,15.6712328767123,0.136986301369863,5.3972602739726,8.10958904109589,11.0684931506849,10.7397260273973,15.5890410958904,4.974325,42,28,39,46,41
"2658",10,0.6,0.01,58,6.13698630136986,13.9452054794521,17.2328767123288,0.136986301369863,6.38356164383562,8.93150684931507,11.2328767123288,10.7397260273973,16.5753424657534,4.770925,37,49,45,44,50
"2659",10,0.6,0.01,59,4.57534246575343,12.1369863013699,14.9315068493151,0.0547945205479436,4.65753424657534,6.95890410958904,9.17808219178082,9.42465753424657,14.027397260274,5.224,45,63,49,62,52
"2660",10,0.6,0.01,60,7.61643835616438,15.5068493150685,19.2876712328767,0.0547945205479436,3.83561643835617,6.46575342465754,8.93150684931507,9.91780821917808,17.0684931506849,4.632575,37,29,37,38,39
"2661",10,0.6,0.01,61,5.06849315068493,11.7260273972603,14.6027397260274,0.0547945205479436,4.41095890410959,6.46575342465754,8.84931506849315,9.01369863013699,14.1095890410959,5.186225,39,26,38,42,38
"2662",10,0.6,0.01,62,5.72602739726027,15.5068493150685,18.3013698630137,0.0547945205479436,3.83561643835617,6.38356164383562,9.0958904109589,8.84931506849315,16.0821917808219,4.829575,37,25,37,49,36
"2663",10,0.6,0.01,63,7.6986301369863,16.2465753424658,19.3698630136986,0.0547945205479436,3.91780821917808,6.13698630136986,8.6027397260274,9.0958904109589,16.6575342465753,4.708025,29,39,36,46,39
"2664",10,0.6,0.01,64,6.63013698630137,14.1095890410959,17.0684931506849,0.136986301369863,5.47945205479452,7.61643835616438,10.0821917808219,10.6575342465753,16.0821917808219,4.8325,30,41,43,48,30
"2665",10,0.6,0.01,65,3.34246575342466,13.5342465753425,16.4931506849315,0.0547945205479436,4,6.38356164383562,9.01369863013699,9.0958904109589,15.4246575342466,4.93945,33,40,37,43,29
"2666",10,0.6,0.01,66,5.97260273972603,16.986301369863,19.5342465753425,0.0547945205479436,4.24657534246575,5.89041095890411,8.68493150684931,9.91780821917808,17.6438356164384,4.5735,31,41,37,39,41
"2667",10,0.6,0.01,67,5.56164383561644,15.4246575342466,18.3835616438356,0.0547945205479436,4.32876712328767,6.87671232876712,9.67123287671233,10.7397260273973,16.5753424657534,4.673225,33,44,33,32,31
"2668",10,0.6,0.01,68,3.67123287671233,11.4794520547945,14.6027397260274,0.0547945205479436,3.91780821917808,5.80821917808219,8.10958904109589,7.94520547945206,13.5342465753425,5.249075,39,48,57,56,47
"2669",10,0.6,0.01,69,8.68493150684931,15.7534246575342,19.2054794520548,0.136986301369863,4.98630136986301,7.04109589041096,9.17808219178082,9.26027397260274,17.3972602739726,4.583875,29,39,26,43,41
"2670",10,0.6,0.01,70,5.56164383561644,13.041095890411,16.0821917808219,0.0547945205479436,4.65753424657534,7.45205479452055,9.58904109589041,9.67123287671233,15.5068493150685,4.97225,35,41,42,37,41
"2671",10,0.6,0.01,71,5.06849315068493,13.2054794520548,15.8356164383562,0.0547945205479436,4.41095890410959,6.87671232876712,8.84931506849315,9.17808219178082,14.6027397260274,5.103625,35,29,36,59,34
