FIRST_LINE,STARTING_PARTNER_DRUG_FREQ,TIME_TO_1p_580Y,TIME_TO_10p_580Y,TIME_TO_25p_580Y,TIME_TO_10p_TF,TIME_TO_25p_TF,NUMBER_OF_MUTATION_EVENTS_1,NUMBER_OF_MUTATION_EVENTS_2,NUMBER_OF_MUTATION_EVENTS_3,NUMBER_OF_MUTATION_EVENTS_4,NUMBER_OF_MUTATION_EVENTS_5,NUMBER_OF_TREATMENT_FAILURES,NUMBER_OF_TREATMENTS
0,0,6.41917808,12.9260274,15.0109589,4.67123288,8.6739726,376,348,302,325,300,24.8014,1419224
0,0,8.3369863,12.339726,14.339726,4.92054795,8.92328767,337,397,382,339,303,24.7184,1403100
0,0,6.25205479,9.42191781,11.4219178,5.41917808,8.6739726,358,368,396,337,301,25.2194,1424594
0,0,6.58630137,11.0082192,13.0958904,4.67123288,8.5890411,359,370,364,293,293,24.9421,1431915
0,0,11.2547945,15.339726,17.260274,5.25205479,10.0931507,374,383,328,360,319,24.5268,1428418
0,0,3.83561644,8.25479452,10.3369863,4.58630137,7.67123288,363,327,361,349,320,25.18,1413975
0,0,7.92054795,11.4219178,13.7589041,4.75342466,8.92328767,347,388,333,328,288,24.9172,1432224
0,0,3.91780822,6.92054795,8.50410959,5.00547945,7.75342466,341,347,361,299,336,25.179,1416991
0,0,8.5890411,12.4246575,14.5068493,4.41917808,8.00547945,372,351,342,333,293,24.8495,1426677
0,0,4.00273973,6.92054795,8.84109589,4.92054795,7.33424658,342,377,351,342,330,25.3551,1427590
0,0,6.92054795,10.6739726,12.8438356,4.16712329,8.6739726,360,365,367,338,297,25.0109,1433646
0,0,4.50136986,7.33424658,9.50410959,4.16712329,7.41917808,408,335,366,302,266,25.2708,1420379
0,0,6.25205479,8.6739726,10.5890411,5.50136986,8.42191781,351,356,397,366,312,25.1056,1413439
0,0,4.75342466,7.41917808,9.00821918,4.83835616,7.75342466,373,355,315,343,306,25.3641,1418300
0,0,5.58630137,9.75616438,11.3369863,5.33424658,8.6739726,347,364,383,351,359,25.0747,1422872
0,0,5.83835616,8.42191781,10.5890411,4.83835616,7.92054795,353,360,415,335,306,25.2053,1417357
0,0.01,6.09041096,10.0931507,12.4246575,3.83561644,7.67123288,357,345,341,303,271,25.0649,1414008
0,0.01,6.75342466,10.169863,12.2575342,4.50136986,8.00547945,396,406,378,384,296,25.0884,1433259
0,0.01,8.00547945,12.5068493,14.5917808,4.41917808,9.00821918,368,366,362,309,312,24.7214,1416734
0,0.01,7.75342466,11.9232877,13.6767123,4.33424658,8.75616438,339,358,367,301,276,24.9592,1421439
0,0.01,5.25205479,8.50410959,11.169863,4.16712329,7.50136986,336,373,332,308,312,25.0925,1411739
0,0.01,3.24931507,5.50136986,7.16712329,4.16712329,6.33424658,333,354,354,298,280,25.3445,1415535
0,0.01,9.3369863,12.4246575,15.0109589,3.91780822,8.3369863,386,380,326,324,254,24.9156,1430191
0,0.01,3.83561644,7.75342466,9.75616438,4.67123288,7.75342466,367,343,372,354,299,25.294,1428373
0,0.01,8.09041096,12.0931507,14.2575342,4.41917808,8.00547945,370,366,334,332,285,24.8457,1423959
0,0.01,5.50136986,9.75616438,11.5041096,4.50136986,8.16986301,375,364,337,322,263,25.0343,1417620
