"FIRST_LINE","INFECTION_DURATION_MULTIPLY_FACTOR","STARTING_PARTNER_DRUG_FREQ","TIME_TO_1p_580Y","TIME_TO_10p_580Y","TIME_TO_25p_580Y","TIME_TO_10p_TF","TIME_TO_25p_TF","NUMBER_OF_MUTATION_EVENTS_1","NUMBER_OF_MUTATION_EVENTS_2","NUMBER_OF_MUTATION_EVENTS_3","NUMBER_OF_MUTATION_EVENTS_4","NUMBER_OF_MUTATION_EVENTS_5","NUMBER_OF_TREATMENT_FAILURES","NUMBER_OF_TREATMENTS"
2,1.3,0.01,5.15068493150685,19.1232876712329,26.5205479452055,0.136986301369863,34.7397260273973,31,20,32,29,30,0.936425,6.79405
2,1.3,0.01,10.7397260273973,25.1232876712329,33.7534246575342,0.136986301369863,NA,18,24,24,31,27,0.7362,6.65375
2,1.3,0.01,6.95890410958904,18.5479452054795,25.041095890411,0.136986301369863,31.2876712328767,29,26,27,35,29,1.039975,6.79485
2,1.3,0.01,9.75342465753425,20.027397260274,28.1643835616438,1.12328767123288,36.4657534246575,20,29,26,24,24,0.863425,6.62315
2,1.3,0.1,6.46575342465754,23.2328767123288,29.972602739726,0.136986301369863,32.1095890410959,31,40,42,40,33,1.08625,6.78695
2,1.3,0.1,8.35616438356164,24.5479452054795,30.7123287671233,0.0547945205479436,34.4931506849315,31,18,27,39,16,0.9762,6.7093
2,1.3,0.1,4.9041095890411,14.027397260274,20.3561643835616,0.0547945205479436,26.3561643835616,19,31,20,33,29,1.313625,6.752275
2,1.3,0.1,3.91780821917808,14.6027397260274,19.9452054794521,0.136986301369863,26.5205479452055,29,16,24,19,33,1.2602,6.7126
2,1.3,0.1,4.98630136986301,16.6575342465753,25.2876712328767,0.136986301369863,29.8082191780822,23,33,28,42,31,1.16395,6.724
2,1.3,0.1,4.41095890410959,14.3561643835616,23.3972602739726,0.219178082191782,28,18,30,24,30,18,1.268325,6.752575
2,1.3,0.1,5.06849315068493,17.7260273972603,23.3972602739726,0.136986301369863,27.5890410958904,33,43,36,35,34,1.25145,6.694
2,1.3,0.1,6.3013698630137,19.041095890411,24.6301369863014,0.136986301369863,28.8219178082192,35,41,39,37,37,1.167125,6.62025
2,1.3,0.1,8.76712328767123,18.5479452054795,27.4246575342466,0.136986301369863,33.013698630137,20,23,30,20,24,1.09025,6.61405
2,1.3,0.1,7.45205479452055,16.7397260273973,23.4794520547945,0.219178082191782,25.4520547945205,22,26,17,27,23,1.200975,6.786775
2,1.3,0.1,8.84931506849315,24.5479452054795,31.8630136986301,0.136986301369863,35.5616438356164,24,22,24,27,29,0.984525,6.8107
2,1.3,0.1,4.9041095890411,14.9315068493151,21.9178082191781,0.136986301369863,24.7945205479452,27,25,26,28,25,1.2979,6.827925
2,1.3,0.1,3.67123287671233,12.8767123287671,19.7808219178082,0.219178082191782,26.1095890410959,26,24,16,34,22,1.3606,6.725325
2,1.3,0.1,4.73972602739726,22.0821917808219,28.1643835616438,0.136986301369863,32.9315068493151,23,32,26,23,23,1.068325,6.59195
2,1.3,0.1,5.56164383561644,22,28.986301369863,1.45205479452055,32.1917808219178,20,23,24,36,31,1.08825,6.6444
2,1.3,0.1,10.4931506849315,22.3287671232877,26.1095890410959,0.136986301369863,30.8767123287671,31,23,28,37,20,1.094475,6.8108
2,1.3,0.1,10.1643835616438,19.2054794520548,25.1232876712329,0.0547945205479436,29.4794520547945,27,17,20,35,19,1.21995,6.84075
2,1.3,0.1,6.05479452054794,21.3424657534247,28.8219178082192,0.136986301369863,31.5342465753425,22,34,24,30,22,1.098925,6.689125
2,1.3,0.1,3.42465753424657,16.6575342465753,22.8219178082192,0.136986301369863,28.5753424657534,28,29,25,24,20,1.2355,6.779675
2,1.3,0.1,6.21917808219178,15.8356164383562,21.6712328767123,0.0547945205479436,27.4246575342466,20,25,23,30,22,1.266775,6.847975
2,1.3,0.1,8.43835616438356,18.8767123287671,24.4657534246575,0.219178082191782,30.0547945205479,26,28,25,27,27,1.20725,6.844875
2,1.3,0.1,5.23287671232877,14.5205479452055,19.6164383561644,0.136986301369863,24.7945205479452,21,28,33,33,27,1.3956,6.932925
2,1.3,0.1,9.17808219178082,20.5205479452055,25.8630136986301,0.136986301369863,29.5616438356164,17,38,26,31,21,1.140875,6.52505
2,1.3,0.1,11.5616438356164,21.3424657534247,28.1643835616438,0.0547945205479436,32.6027397260274,23,22,17,29,25,1.08155,6.778275
2,1.3,0.1,5.72602739726027,14.1917808219178,19.9452054794521,0.136986301369863,25.7808219178082,24,27,21,35,26,1.328525,6.8575
2,1.3,0.1,6.21917808219178,16.5753424657534,25.3698630136986,0.63013698630137,31.5342465753425,21,25,28,28,23,1.166825,6.7711
2,1.3,0.1,4.32876712328767,15.1780821917808,23.972602739726,0.301369863013697,27.8356164383562,19,32,28,32,29,1.17485,6.69925
2,1.3,0.1,11.0684931506849,19.6986301369863,25.2876712328767,0.0547945205479436,29.3150684931507,21,25,26,21,30,1.175975,6.6748
2,1.3,0.1,6.71232876712329,15.7534246575342,23.972602739726,0.136986301369863,28.4931506849315,25,23,26,30,30,1.174775,6.742975
2,1.3,0.1,6.63013698630137,19.3698630136986,24.958904109589,0.136986301369863,29.1506849315069,33,25,25,29,21,1.190125,6.781125
2,1.3,0.1,3.75342465753425,13.8630136986301,20.4383561643836,0.136986301369863,27.0958904109589,34,39,29,24,25,1.25915,6.729525
2,1.3,0.1,10.0821917808219,27.5890410958904,33.0958904109589,0.219178082191782,34.0821917808219,28,31,20,35,35,0.982825,6.557225
2,1.3,0.1,4.24657534246575,16.4931506849315,22.4109589041096,0.219178082191782,25.4520547945205,19,26,22,22,26,1.23325,6.75565
2,1.3,0.1,4.16438356164383,17.3972602739726,26.8493150684931,0.63013698630137,30.7945205479452,18,26,20,26,23,1.1373,6.70185
