"FIRST_LINE","CR_MULTIPLY_FACTOR","STARTING_PARTNER_DRUG_FREQ","TIME_TO_1p_580Y","TIME_TO_10p_580Y","TIME_TO_25p_580Y","TIME_TO_10p_TF","TIME_TO_25p_TF","NUMBER_OF_MUTATION_EVENTS_1","NUMBER_OF_MUTATION_EVENTS_2","NUMBER_OF_MUTATION_EVENTS_3","NUMBER_OF_MUTATION_EVENTS_4","NUMBER_OF_MUTATION_EVENTS_5","NUMBER_OF_TREATMENT_FAILURES","NUMBER_OF_TREATMENTS"
2,0.9,0.01,6.13698630136986,20.7671232876712,28.3287671232877,1.04109589041096,37.2876712328767,31,30,38,41,44,1.205825,8.91865
2,0.9,0.01,6.95890410958904,21.5890410958904,29.5616438356164,0.136986301369863,NA,36,41,32,34,32,1.069725,9.009975
2,0.9,0.01,3.91780821917808,15.2602739726027,23.3972602739726,0.63013698630137,34.7397260273973,47,54,54,53,49,1.313575,8.9742
2,0.9,0.01,5.64383561643836,18.4657534246575,26.3561643835616,0.383561643835616,35.972602739726,38,50,45,37,45,1.25765,8.964975
2,0.9,0.01,5.80821917808219,15.7534246575342,23.6438356164384,0.958904109589042,37.8630136986301,41,50,31,44,50,1.23025,8.8062
2,0.9,0.01,5.47945205479452,16.3287671232877,23.4794520547945,3.26027397260274,30.1369863013699,32,36,40,42,51,1.50415,9.1112
2,0.9,0.01,3.75342465753425,17.2328767123288,24.2191780821918,0.136986301369863,38.4383561643836,30,34,40,49,43,1.26085,9.014225
2,0.9,0.01,4.41095890410959,18.2191780821918,27.4246575342466,0.301369863013697,35.972602739726,33,39,36,44,45,1.2961,9.018625
2,0.9,0.01,4.82191780821918,19.4520547945205,26.9315068493151,0.136986301369863,36.1369863013699,32,37,41,41,46,1.248125,8.87035
2,0.9,0.01,6.54794520547945,19.4520547945205,26.3561643835616,0.0547945205479436,37.9452054794521,34,48,31,45,45,1.203725,8.893475
2,0.9,0.01,4.16438356164383,14.5205479452055,21.7534246575342,1.36986301369863,33.3424657534247,32,49,47,42,39,1.351525,9.062775
2,0.9,0.01,7.53424657534246,23.6438356164384,31.8630136986301,0.136986301369863,39.1780821917808,44,39,40,48,29,1.124,8.949125
2,0.9,0.01,3.42465753424657,15.2602739726027,23.3150684931507,1.2054794520548,32.6027397260274,53,40,49,53,44,1.339175,8.932025
2,0.9,0.01,5.89041095890411,17.3150684931507,24.7123287671233,0.0547945205479436,32.8493150684931,30,46,43,50,33,1.3593,8.991975
2,0.9,0.01,3.91780821917808,15.013698630137,21.3424657534247,0.465753424657535,31.7808219178082,41,52,43,63,49,1.4331,9.02515
2,0.9,0.01,7.61643835616438,19.9452054794521,26.1095890410959,0.0547945205479436,35.8082191780822,43,37,47,48,34,1.231575,8.966825
2,0.9,0.01,4.41095890410959,14.5205479452055,21.4246575342466,0.301369863013697,33.0958904109589,49,57,60,49,49,1.323475,8.7285
2,0.9,0.01,5.23287671232877,17.3150684931507,23.7260273972603,0.219178082191782,31.9452054794521,41,37,38,44,47,1.3031,8.9899
2,0.9,0.01,7.94520547945206,22.2465753424658,30.4657534246575,1.28767123287671,39.2602739726027,35,40,45,63,31,1.084825,8.8728
2,0.9,0.01,6.63013698630137,17.3150684931507,24.7945205479452,2.93150684931507,38.3561643835616,36,37,27,39,31,1.204825,8.904
2,0.9,0.01,6.3013698630137,20.6027397260274,27.5890410958904,2.19178082191781,36.7945205479452,49,52,63,57,64,1.17285,8.884
2,0.9,0.01,5.72602739726027,18.2191780821918,25.2876712328767,1.45205479452055,33.4246575342466,41,45,33,40,38,1.34885,9.117775
2,0.9,0.01,3.26027397260274,15.4246575342466,21.9178082191781,0.301369863013697,35.4794520547945,37,47,37,43,41,1.26975,8.8421
2,0.9,0.01,5.31506849315069,16.9041095890411,22.8219178082192,1.36986301369863,37.8630136986301,36,50,42,40,35,1.2306,8.823375
2,0.9,0.01,6.71232876712329,25.1232876712329,32.8493150684931,0.465753424657535,NA,35,32,40,47,35,1.1208,8.950425
2,0.9,0.01,6.7945205479452,20.1095890410959,27.4246575342466,1.2054794520548,38.4383561643836,41,42,35,45,28,1.190275,8.922625
2,0.9,0.01,5.64383561643836,19.6986301369863,25.7808219178082,0.301369863013697,33.5890410958904,36,34,41,32,33,1.257225,8.772075
2,0.9,0.01,5.23287671232877,15.2602739726027,22,0.301369863013697,29.2328767123288,37,30,39,33,48,1.467825,8.9965
2,0.9,0.01,6.21917808219178,16.3287671232877,23.3150684931507,1.28767123287671,34.3287671232877,28,36,36,45,45,1.393375,9.043075
