FIRST_LINE,STARTING_PARTNER_DRUG_FREQ,TIME_TO_1p_580Y,TIME_TO_10p_580Y,TIME_TO_25p_580Y,TIME_TO_10p_TF,TIME_TO_25p_TF,NUMBER_OF_MUTATION_EVENTS_1,NUMBER_OF_MUTATION_EVENTS_2,NUMBER_OF_MUTATION_EVENTS_3,NUMBER_OF_MUTATION_EVENTS_4,NUMBER_OF_MUTATION_EVENTS_5,NUMBER_OF_TREATMENT_FAILURES,NUMBER_OF_TREATMENTS
0,0.01,5.67123288,10.3369863,13.0109589,8.50410959,16.1753425,418,438,413,369,410,22.4139,1438683
0,0.01,7.50136986,12.4246575,14.5068493,9.25479452,17.260274,426,441,373,434,445,22.5123,1436879
0,0.01,16.5945205,22.5123288,24.8520548,9.92328767,27.1808219,421,432,432,439,425,21.5966,1432175
0,0.01,9.42191781,14.4246575,17.0136986,9.6739726,19.5945205,422,424,399,397,427,22.1666,1418632
0,0.01,6.25205479,12.5917808,15.0958904,8.09041096,17.5945205,396,416,356,370,347,22.2621,1428124
0,0.01,4.83835616,11.5041096,15.4246575,8.42191781,17.5945205,409,427,360,388,416,22.1854,1423358
0,0.01,5.41917808,9.50410959,12.0931507,7.67123288,14.339726,402,384,391,399,376,22.5146,1435000
0,0.01,8.75616438,14.2575342,17.260274,9.92328767,20.2630137,404,385,434,435,425,22.1704,1433200
0,0.01,15.4246575,20.9315068,23.430137,9.84109589,26.3479452,461,395,456,417,410,21.7572,1439350
0,0.01,12.0931507,17.509589,20.430137,8.75616438,22.7643836,405,450,400,435,364,21.9678,1434889
0,0.01,11.2547945,17.1753425,20.3452055,8.3369863,23.1780822,405,419,423,410,374,21.9458,1436882
0,0.01,7.92054795,11.9232877,14.7589041,9.92328767,17.4273973,449,395,415,408,459,22.3877,1423896
0,0.01,6.09041096,14.5917808,17.0986301,9.6739726,19.1753425,425,419,404,417,393,22.1407,1425273
0,0.01,10.0082192,14.339726,16.4273973,9.3369863,19.0986301,382,397,412,413,379,22.2657,1432621
0,0.01,9.00821918,14.1726027,16.8465753,8.50410959,19.3424658,407,424,418,411,377,22.2218,1426491
0,0.01,4.92054795,8.75616438,11.4219178,8.3369863,14.7589041,413,457,440,438,418,22.4242,1431665
0,0.01,10.0931507,15.0958904,17.6794521,10.6739726,20.0986301,421,412,406,409,455,22.0695,1424655
